start,end,score,VarName4
00:54:24,00:54:28,0.914,ENT
00:54:30,00:54:34,0.934,ENT
00:54:35,00:54:39,0.945,ENT
00:54:41,00:54:45,0.957,ENT
00:54:47,00:54:51,0.922,ENT
00:54:52,00:54:56,0.945,ENT
00:54:58,00:55:02,0.934,ENT
00:55:03,00:55:08,0.879,ENT
00:55:09,00:55:13,0.922,ENT
00:55:15,00:55:19,0.945,ENT
00:55:20,00:55:24,0.914,ENT
00:55:26,00:55:30,0.879,ENT
00:55:32,00:55:36,0.863,ENT
00:55:37,00:55:41,0.879,ENT
00:55:43,00:55:47,0.934,ENT
00:55:49,00:55:53,0.879,ENT
00:55:54,00:55:58,0.945,ENT
00:56:00,00:56:04,0.941,ENT
00:56:05,00:56:10,0.922,ENT
00:56:11,00:56:15,0.941,ENT
00:56:17,00:56:21,0.531,ENT
00:56:22,00:56:26,0.629,ENT
00:56:28,00:56:32,0.434,ENT
00:56:34,00:56:38,0.715,ENT
00:56:39,00:56:43,0.656,ENT
00:56:45,00:56:49,0.828,ENT
00:56:51,00:56:55,0.879,ENT
00:56:56,00:57:00,0.016,ENT
00:57:02,00:57:06,0.914,ENT
00:57:07,00:57:11,0.715,ENT
00:57:13,00:57:17,0.891,ENT
00:57:19,00:57:23,0.992,ENT
00:57:24,00:57:28,0.098,ENT
00:57:30,00:57:34,0.996,ENT
00:57:36,00:57:40,0.996,ENT
00:57:41,00:57:45,0.98,ENT
00:57:47,00:57:51,0.809,ENT
00:57:52,00:57:57,0.656,ENT
00:57:58,00:58:02,0.598,ENT
00:58:04,00:58:08,0.742,ENT
00:58:09,00:58:13,0.598,ENT
00:58:15,00:58:19,0.984,LNT
00:58:21,00:58:25,0.914,LNT
00:58:26,00:58:30,0.992,LNT
00:58:32,00:58:36,0.992,LNT
00:58:38,00:58:42,0.996,LNT
00:58:43,00:58:47,0.988,LNT
00:58:49,00:58:53,0.996,LNT
00:58:54,00:58:58,0.953,LNT
00:59:00,00:59:04,0.996,LNT
00:59:06,00:59:10,0.992,LNT
00:59:11,00:59:15,0.996,LNT
00:59:17,00:59:21,0.996,LNT
00:59:23,00:59:27,0.965,LNT
00:59:28,00:59:32,0.996,LNT
00:59:34,00:59:38,0.996,LNT
00:59:39,00:59:44,0.902,LNT
00:59:45,00:59:49,0.988,LNT
00:59:51,00:59:55,0.992,LNT
