start,end,score
00:28:05,00:28:07,0.926,MNT
00:28:08,00:28:10,0.984,MNT
00:28:11,00:28:13,0.926,MNT
00:28:14,00:28:16,0.859,MNT
00:28:17,00:28:19,0.469,MNT
00:28:20,00:28:22,0.469,MNT
00:28:23,00:28:25,0.672,MNT
00:28:26,00:28:28,0,MNT
00:28:29,00:28:31,0.871,MNT
00:28:32,00:28:34,0.559,MNT
00:28:35,00:28:37,0.531,MNT
00:28:38,00:28:40,0.191,MNT
00:28:41,00:28:43,0.957,MNT
00:28:44,00:28:46,0.746,MNT
00:28:48,00:28:50,0.934,MNT
00:28:51,00:28:53,0.906,MNT
00:28:54,00:28:56,0.469,MNT
00:28:57,00:28:59,0.723,MNT
00:29:00,00:29:02,0.441,MNT
00:29:03,00:29:05,0.301,MNT
00:29:06,00:29:08,0.887,MNT
00:29:09,00:29:11,0.383,MNT
00:29:12,00:29:14,0.953,MNT
00:29:15,00:29:17,0.926,MNT
00:29:18,00:29:20,0.301,MNT
00:29:21,00:29:23,0.441,MNT
00:29:24,00:29:26,0.211,MNT
00:29:27,00:29:29,0.254,MNT
00:29:31,00:29:33,0.844,MNT
00:29:34,00:29:36,0.617,MNT
00:29:37,00:29:39,0,MNT
00:29:40,00:29:42,0.172,MNT
00:29:43,00:29:45,0.301,MNT
00:29:46,00:29:48,0.301,MNT
00:29:49,00:29:51,0.59,MNT
00:29:52,00:29:54,0.617,MNT
00:29:55,00:29:57,0.441,MNT
00:29:58,00:30:00,0.469,MNT
00:30:01,00:30:03,0.559,MNT
00:30:04,00:30:06,0.211,MNT
00:30:07,00:30:09,0.898,MNT
00:30:10,00:30:12,0.859,MNT
00:30:14,00:30:16,0.441,MNT
00:30:17,00:30:19,0.004,Noise
00:30:20,00:30:22,0.004,Noise
00:30:23,00:30:25,0.023,Noise
00:30:26,00:30:28,0.004,Noise
00:30:29,00:30:31,0.016,Noise
00:30:32,00:30:34,0.016,Noise
00:30:35,00:30:37,0.012,Noise
00:30:38,00:30:40,0.012,Noise
00:30:41,00:30:43,0.008,Noise
00:30:44,00:30:46,0.008,Noise
00:30:47,00:30:49,0.004,Noise
00:30:50,00:30:52,0.004,Noise
00:30:53,00:30:55,0.355,Noise
00:30:57,00:30:59,0.355,Noise
00:31:00,00:31:02,0.441,Noise
00:31:03,00:31:05,0.008,Noise
00:31:06,00:31:08,0.004,Noise
00:31:09,00:31:11,0.004,Noise
00:31:12,00:31:14,0.016,Noise
00:31:15,00:31:17,0.012,Noise
00:31:18,00:31:20,0.016,Noise
00:31:21,00:31:23,0.02,Noise
00:31:24,00:31:26,0.004,Noise
00:31:27,00:31:29,0.004,Noise
00:31:30,00:31:32,0.004,Noise
00:31:33,00:31:35,0.004,Noise
00:31:36,00:31:38,0.004,Noise
00:31:40,00:31:42,0.012,Noise
00:31:43,00:31:45,0.277,Noise
00:31:46,00:31:48,0.035,Noise
00:31:49,00:31:51,0.211,Noise
00:31:52,00:31:54,0,Noise
00:31:55,00:31:57,0.746,Noise
00:31:58,00:32:00,0.844,Noise
00:32:01,00:32:03,0.531,Noise
00:32:04,00:32:06,0.809,Noise
00:32:07,00:32:09,0.699,Noise
00:32:10,00:32:12,0.699,Noise
00:32:13,00:32:15,0.074,Noise
00:32:16,00:32:18,0.277,Noise
00:32:19,00:32:21,0.074,Noise
00:32:23,00:32:25,0.191,Noise
00:32:26,00:32:28,0.211,Noise
00:32:29,00:32:31,0.211,Noise
00:32:32,00:32:34,0.004,Noise
00:32:35,00:32:37,0.047,Noise
00:32:38,00:32:40,0.004,Noise
00:32:41,00:32:43,0.012,Noise
00:32:44,00:32:46,0.004,Noise
00:32:47,00:32:49,0.008,Noise
00:32:50,00:32:52,0.008,Noise
00:32:53,00:32:55,0.859,Noise
00:32:56,00:32:58,0.047,Noise
00:32:59,00:33:01,0.004,Noise
00:33:02,00:33:04,0.277,Noise
00:33:06,00:33:08,0.699,Noise
00:33:09,00:33:11,0.129,Noise
00:33:12,00:33:14,0.012,Noise
00:33:15,00:33:17,0.23,Noise
00:33:18,00:33:20,0.844,Noise
00:33:21,00:33:23,0.012,Noise
00:33:24,00:33:26,0.004,Noise
00:33:27,00:33:29,0.027,Noise
00:33:30,00:33:32,0.004,Noise
00:33:33,00:33:35,0.004,Noise
00:33:36,00:33:38,0.355,Noise
00:33:39,00:33:41,0.004,Noise
00:33:42,00:33:44,0.004,Noise
00:33:45,00:33:48,0.012,Noise
00:33:49,00:33:51,0.043,Noise
00:33:52,00:33:54,0.02,Noise
00:33:55,00:33:57,0.355,Noise
00:33:58,00:34:00,0.059,Noise
00:34:01,00:34:03,0.012,Noise
00:34:04,00:34:06,0.047,Noise
00:34:07,00:34:09,0.699,Noise
00:34:10,00:34:12,0.066,Noise
00:34:13,00:34:15,0.074,Noise
00:34:16,00:34:18,0.02,LNT
00:34:19,00:34:21,0.129,LNT
00:34:22,00:34:24,0.004,LNT
00:34:25,00:34:27,0.012,LNT
00:34:29,00:34:31,0.004,LNT
00:34:32,00:34:34,0.004,LNT
00:34:35,00:34:37,0.113,LNT
00:34:38,00:34:40,0.043,LNT
00:34:41,00:34:43,0.004,LNT
00:34:44,00:34:46,0.004,LNT
00:34:47,00:34:49,0.004,LNT
00:34:50,00:34:52,0.004,LNT
00:34:53,00:34:55,0.047,LNT
00:34:56,00:34:58,0.004,LNT
00:34:59,00:35:01,0.004,LNT
00:35:02,00:35:04,0.012,LNT
00:35:05,00:35:07,0.008,LNT
00:35:08,00:35:10,0.004,LNT
00:35:12,00:35:14,0.004,LNT
00:35:15,00:35:17,0.113,LNT
00:35:18,00:35:20,0.98,LNT
00:35:21,00:35:23,0.871,LNT
00:35:24,00:35:26,0.996,LNT
00:35:27,00:35:29,0.984,LNT
00:35:30,00:35:32,0.996,LNT
00:35:33,00:35:35,0.871,LNT
00:35:36,00:35:38,0.934,LNT
00:35:39,00:35:41,0.988,LNT
00:35:42,00:35:44,0.957,LNT
