start,end,score
00:29:31,00:29:33,0.801,MNT
00:29:34,00:29:36,0.609,MNT
00:29:38,00:29:40,0.426,MNT
00:29:41,00:29:43,0.438,MNT
00:29:44,00:29:46,0.809,MNT
00:29:48,00:29:50,0.387,MNT
00:29:51,00:29:53,0.887,MNT
00:29:54,00:29:56,0.758,MNT
00:29:58,00:30:00,0.984,MNT
00:30:01,00:30:03,0.805,MNT
00:30:04,00:30:06,0.391,MNT
00:30:08,00:30:10,0,MNT
00:30:11,00:30:13,0.918,MNT
00:30:14,00:30:16,0.059,MNT
00:30:18,00:30:20,0.004,Noise
00:30:21,00:30:23,0.027,Noise
00:30:24,00:30:26,0.004,Noise
00:30:28,00:30:30,0.016,Noise
00:30:31,00:30:33,0.0,Noise
00:30:34,00:30:36,0.004,Noise
00:30:38,00:30:40,0.016,Noise
00:30:41,00:30:43,0.004,Noise
00:30:44,00:30:46,0.055,Noise
00:30:48,00:30:50,0.02,Noise
00:30:51,00:30:53,0.008,Noise
00:30:54,00:30:56,0.184,Noise
00:30:58,00:31:00,0.098,Noise
00:31:01,00:31:03,0.051,Noise
00:31:04,00:31:06,0.25,Noise
00:31:08,00:31:10,0.016,Noise
00:31:11,00:31:13,0.867,Noise
00:31:14,00:31:16,0.621,Noise
00:31:18,00:31:20,0.086,Noise
00:31:21,00:31:23,0.059,Noise
00:31:24,00:31:26,0.0,Noise
00:31:28,00:31:30,0.0,Noise
00:31:31,00:31:33,0.0,Noise
00:31:34,00:31:36,0.0,Noise
00:31:38,00:31:40,0.0,Noise
00:31:41,00:31:43,0.84,Noise
00:31:44,00:31:46,0.816,Noise
00:31:48,00:31:50,0.742,Noise
00:31:51,00:31:53,0.91,Noise
00:31:54,00:31:56,0.77,Noise
00:31:58,00:32:00,0.934,Noise
00:32:01,00:32:03,0.02,Noise
00:32:04,00:32:06,0.125,Noise
00:32:08,00:32:10,0.754,Noise
00:32:11,00:32:13,0.672,Noise
00:32:14,00:32:16,0.867,Noise
00:32:18,00:32:20,0.02,Noise
